home_TS%,home_AST%,home_STL%,home_BLK%,home_ORB%,home_DRB%,home_TOV%,home_ORTG,home_DRTG,home_PTS,home_FGA,home_FTA,home_AST,home_FG,home_TOV,home_ORB,home_DRB,home_POSS,home_STL,home_BLK,home_THPA,away_TS%,away_AST%,away_STL%,away_BLK%,away_ORB%,away_DRB%,away_TOV%,away_ORTG,away_DRTG,GAME_RESULT,away_PTS,away_FGA,away_FTA,away_AST,away_FG,away_TOV,away_ORB,away_DRB,away_POSS,away_STL,away_BLK,away_THPA,home_team,away_team,url,Date
0.5623450230251505,0.5208333333333334,0.07778839969920409,0.17307692307692307,0.25,0.8913043478260869,0.06615944426066821,123.48908452248651,101.12491960896533,127,105,18,25,48,8,13,41,102.84309782608696,8,9,45,0.5524861878453038,0.5135135135135135,0.029170649887201534,0.15,0.10869565217391304,0.75,0.12135922330097088,101.12491960896533,123.48908452248651,0,104,84,23,19,37,13,5,39,102.84309782608696,3,9,32,MIL,BRK,https://www.basketball-reference.com/boxscores/202110190MIL.html,202110190
0.5514705882352942,0.4666666666666667,0.061792369570535986,0.07407407407407407,0.10869565217391304,0.8163265306122449,0.14831905075807514,100.63328758630146,106.81252454335505,114,95,19,21,45,18,5,40,113.28259538598047,7,4,42,0.5696798493408662,0.7317073170731707,0.07944733230497485,0.03773584905660377,0.1836734693877551,0.8913043478260869,0.137987012987013,106.81252454335505,100.63328758630146,1,121,93,30,30,41,17,9,41,113.28259538598047,9,2,39,LAL,GSW,https://www.basketball-reference.com/boxscores/202110190LAL.html,202110190
0.517328398384926,0.6304347826086957,0.08242648342692446,0.11627906976744186,0.21818181818181817,0.8095238095238095,0.06305170239596469,112.6495273501301,111.73367753427539,123,107,27,29,46,8,12,34,109.18820779220779,9,5,31,0.6066030230708035,0.6904761904761905,0.018316996317094325,0.13157894736842105,0.19047619047619047,0.7818181818181819,0.14460700918679822,111.73367753427539,112.6495273501301,0,122,90,24,29,42,17,8,43,109.18820779220779,2,10,47,CHO,IND,https://www.basketball-reference.com/boxscores/202110200CHO.html,202110200
0.45967404931048894,0.4722222222222222,0.07070621366205662,0.07936507936507936,0.22,0.8,0.15081618168914124,88.88781146087118,94.94834406047605,88,90,13,17,36,17,11,36,99.0012,7,5,28,0.5075593952483801,0.4864864864864865,0.0808071013280647,0.08064516129032258,0.2,0.78,0.1551094890510949,94.94834406047605,88.88781146087118,1,94,86,15,18,37,17,9,39,99.0012,8,5,23,DET,CHI,https://www.basketball-reference.com/boxscores/202110200DET.html,202110200
0.5903490759753593,0.5294117647058824,0.0711476009212485,0.16666666666666666,0.14583333333333334,0.7619047619047619,0.13982926111274654,109.0929880792477,105.93087248274777,138,105,27,27,51,19,7,48,126.49758928571428,9,10,45,0.5270610446821901,0.7083333333333334,0.10276875688624783,0.15,0.23809523809523808,0.8541666666666666,0.12403528114663726,105.93087248274777,109.0929880792477,0,134,117,23,34,48,18,15,41,126.49758928571428,13,9,57,NYK,BOS,https://www.basketball-reference.com/boxscores/202110200NYK.html,202110200
0.38901387326584175,0.4666666666666667,0.09589832950437689,0.07407407407407407,0.30158730158730157,0.8333333333333334,0.1511775938892425,79.59561348863282,93.98036291428934,83,97,22,14,30,19,19,35,104.27710317460317,10,4,34,0.5300735612289053,0.5555555555555556,0.13425766130612765,0.12698412698412698,0.16666666666666666,0.6984126984126984,0.19224047535826636,93.98036291428934,79.59561348863282,1,98,81,26,20,36,22,7,44,104.27710317460317,14,8,27,TOR,WAS,https://www.basketball-reference.com/boxscores/202110200TOR.html,202110200
0.6268996960486322,0.5283018867924528,0.07800942974548658,0.14545454545454545,0.30952380952380953,0.851063829787234,0.10231923601637108,128.71555908005286,117.98926249004846,132,100,12,28,53,12,13,40,102.55170466058763,8,8,33,0.5994847403884265,0.8085106382978723,0.058507072309114935,0.07462686567164178,0.14893617021276595,0.6904761904761905,0.09828448892065761,117.98926249004846,128.71555908005286,0,121,93,18,38,47,11,7,29,102.55170466058763,6,5,38,MEM,CLE,https://www.basketball-reference.com/boxscores/202110200MEM.html,202110200
0.6160572337042926,0.6190476190476191,0.17175537400073473,0.21818181818181817,0.30952380952380953,0.7333333333333333,0.15171948752528658,118.32036875606168,101.14483135598822,124,87,31,26,42,18,13,33,104.80021428571429,18,12,38,0.5425880425880425,0.525,0.12404554788941952,0.061224489795918366,0.26666666666666666,0.6904761904761905,0.1972386587771203,101.14483135598822,118.32036875606168,0,106,88,22,21,40,24,12,29,104.80021428571429,13,3,33,MIN,HOU,https://www.basketball-reference.com/boxscores/202110200MIN.html,202110200
0.5002062706270627,0.717948717948718,0.05032963691755842,0.1,0.19607843137254902,0.85,0.1261715933669791,97.63949562006334,117.7713503870867,97,93,9,28,39,14,10,34,99.34504411764706,5,6,30,0.6236673773987207,0.5454545454545454,0.09059334645160516,0.07936507936507936,0.15,0.803921568627451,0.12172284644194757,117.7713503870867,97.63949562006334,1,117,85,20,24,44,13,6,41,99.34504411764706,9,5,25,NOP,PHI,https://www.basketball-reference.com/boxscores/202110200NOP.html,202110200
0.5806268882175226,0.6530612244897959,0.08315515124488662,0.05263157894736842,0.29545454545454547,0.6976744186046512,0.0702247191011236,127.85104503901319,100.82562088442504,123,98,18,32,49,8,13,30,96.205705602537,8,3,30,0.5045776113191843,0.4857142857142857,0.062366363433664966,0.08823529411764706,0.3023255813953488,0.7045454545454546,0.14270424545130217,100.82562088442504,127.85104503901319,0,97,86,23,17,35,16,13,31,96.205705602537,6,6,29,SAS,ORL,https://www.basketball-reference.com/boxscores/202110200SAS.html,202110200
