Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Tue, Oct 19, 2021",7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,Box Score,,17341.0,2:20,Fiserv Forum,
"Tue, Oct 19, 2021",10:00p,Golden State Warriors,121,Los Angeles Lakers,114,Box Score,,18997.0,2:33,Crypto.com Arena,
"Wed, Oct 20, 2021",7:00p,Indiana Pacers,122,Charlotte Hornets,123,Box Score,,15521.0,2:20,Spectrum Center,
"Wed, Oct 20, 2021",7:00p,Chicago Bulls,94,Detroit Pistons,88,Box Score,,20088.0,2:09,Little Caesars Arena,
"Wed, Oct 20, 2021",7:30p,Boston Celtics,134,New York Knicks,138,Box Score,2OT,19812.0,2:54,Madison Square Garden (IV),
"Wed, Oct 20, 2021",7:30p,Washington Wizards,98,Toronto Raptors,83,Box Score,,19800.0,2:15,Scotiabank Arena,
"Wed, Oct 20, 2021",8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,Box Score,,15975.0,2:07,FedEx Forum,
"Wed, Oct 20, 2021",8:00p,Houston Rockets,106,Minnesota Timberwolves,124,Box Score,,16079.0,2:12,Target Center,
"Wed, Oct 20, 2021",8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,Box Score,,12845.0,2:04,Smoothie King Center,
"Wed, Oct 20, 2021",8:30p,Orlando Magic,97,San Antonio Spurs,123,Box Score,,16697.0,2:13,AT&T Center,
"Wed, Oct 20, 2021",9:00p,Oklahoma City Thunder,86,Utah Jazz,107,Box Score,,18306.0,2:04,Vivint Smart Home Arena,
"Wed, Oct 20, 2021",10:00p,Sacramento Kings,124,Portland Trail Blazers,121,Box Score,,17467.0,2:18,Moda Center,
"Wed, Oct 20, 2021",10:00p,Denver Nuggets,110,Phoenix Suns,98,Box Score,,16074.0,2:09,Phoenix Suns Arena,
"Thu, Oct 21, 2021",7:30p,Dallas Mavericks,87,Atlanta Hawks,113,Box Score,,17162.0,2:08,State Farm Arena,
"Thu, Oct 21, 2021",8:00p,Milwaukee Bucks,95,Miami Heat,137,Box Score,,19600.0,2:21,FTX Arena,
"Thu, Oct 21, 2021",10:00p,Los Angeles Clippers,113,Golden State Warriors,115,Box Score,,18064.0,2:28,Chase Center,
"Fri, Oct 22, 2021",7:00p,New York Knicks,121,Orlando Magic,96,Box Score,,18846.0,2:06,Amway Center,
"Fri, Oct 22, 2021",7:00p,Indiana Pacers,134,Washington Wizards,135,Box Score,OT,15407.0,2:32,Capital One Arena,
"Fri, Oct 22, 2021",7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,Box Score,,17116.0,2:05,Rocket Mortgage Fieldhouse,
"Fri, Oct 22, 2021",7:30p,Toronto Raptors,115,Boston Celtics,83,Box Score,,19156.0,2:05,TD Garden,
"Fri, Oct 22, 2021",7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,Box Score,,20367.0,2:21,Wells Fargo Center,
"Fri, Oct 22, 2021",8:00p,Oklahoma City Thunder,91,Houston Rockets,124,Box Score,,15674.0,2:02,Toyota Center,
"Fri, Oct 22, 2021",8:00p,New Orleans Pelicans,112,Chicago Bulls,128,Box Score,,20995.0,2:04,United Center,
"Fri, Oct 22, 2021",9:00p,San Antonio Spurs,96,Denver Nuggets,102,Box Score,,19520.0,2:07,Ball Arena,
"Fri, Oct 22, 2021",10:00p,Phoenix Suns,115,Los Angeles Lakers,105,Box Score,,18997.0,2:25,Crypto.com Arena,
"Fri, Oct 22, 2021",10:00p,Utah Jazz,110,Sacramento Kings,101,Box Score,,17583.0,2:18,Golden 1 Center,
"Sat, Oct 23, 2021",6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,Box Score,,16846.0,2:14,Rocket Mortgage Fieldhouse,
"Sat, Oct 23, 2021",7:00p,Miami Heat,91,Indiana Pacers,102,Box Score,OT,17147.0,2:32,Gainbridge Fieldhouse,
"Sat, Oct 23, 2021",7:30p,Dallas Mavericks,103,Toronto Raptors,95,Box Score,,19800.0,2:13,Scotiabank Arena,
"Sat, Oct 23, 2021",8:00p,Detroit Pistons,82,Chicago Bulls,97,Box Score,,18888.0,2:11,United Center,
"Sat, Oct 23, 2021",8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,Box Score,,15343.0,2:20,Target Center,
"Sat, Oct 23, 2021",8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,Box Score,,14353.0,2:09,AT&T Center,
"Sat, Oct 23, 2021",10:00p,Phoenix Suns,105,Portland Trail Blazers,134,Box Score,,18558.0,1:59,Moda Center,
"Sat, Oct 23, 2021",10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,Box Score,,16748.0,2:13,Crypto.com Arena,
"Sun, Oct 24, 2021",4:00p,Charlotte Hornets,111,Brooklyn Nets,95,Box Score,,17732.0,2:02,Barclays Center,
"Sun, Oct 24, 2021",7:00p,Boston Celtics,107,Houston Rockets,97,Box Score,,16069.0,2:14,Toyota Center,
"Sun, Oct 24, 2021",7:00p,Orlando Magic,110,New York Knicks,104,Box Score,,16273.0,2:23,Madison Square Garden (IV),
"Sun, Oct 24, 2021",7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,Box Score,,14256.0,2:06,Paycom Center,
"Sun, Oct 24, 2021",9:00p,Golden State Warriors,119,Sacramento Kings,107,Box Score,,13876.0,2:17,Golden 1 Center,
"Sun, Oct 24, 2021",9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,Box Score,,18997.0,2:24,Crypto.com Arena,
"Mon, Oct 25, 2021",7:00p,Boston Celtics,140,Charlotte Hornets,129,Box Score,OT,17238.0,2:29,Spectrum Center,
"Mon, Oct 25, 2021",7:00p,Milwaukee Bucks,119,Indiana Pacers,109,Box Score,,10339.0,2:23,Gainbridge Fieldhouse,
"Mon, Oct 25, 2021",7:30p,Chicago Bulls,111,Toronto Raptors,108,Box Score,,19800.0,2:16,Scotiabank Arena,
"Mon, Oct 25, 2021",7:30p,Orlando Magic,90,Miami Heat,107,Box Score,,19600.0,2:12,FTX Arena,
"Mon, Oct 25, 2021",7:30p,Washington Wizards,90,Brooklyn Nets,104,Box Score,,14487.0,2:06,Barclays Center,
"Mon, Oct 25, 2021",7:30p,Detroit Pistons,104,Atlanta Hawks,122,Box Score,,14209.0,2:04,State Farm Arena,
"Mon, Oct 25, 2021",8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,Box Score,,14435.0,2:14,Target Center,
"Mon, Oct 25, 2021",9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,Box Score,,14221.0,2:06,Ball Arena,
"Mon, Oct 25, 2021",10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,Box Score,,15672.0,2:10,Crypto.com Arena,
"Tue, Oct 26, 2021",7:30p,Philadelphia 76ers,99,New York Knicks,112,Box Score,,15218.0,2:16,Madison Square Garden (IV),
"Tue, Oct 26, 2021",8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,Box Score,,0.0,2:11,Paycom Center,
"Tue, Oct 26, 2021",8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,Box Score,OT,18354.0,2:26,AT&T Center,
"Tue, Oct 26, 2021",8:30p,Houston Rockets,106,Dallas Mavericks,116,Box Score,,19337.0,2:11,American Airlines Center,
"Tue, Oct 26, 2021",10:00p,Denver Nuggets,110,Utah Jazz,122,Box Score,,18306.0,2:28,Vivint Smart Home Arena,
"Wed, Oct 27, 2021",7:00p,Charlotte Hornets,120,Orlando Magic,111,Box Score,,14082.0,2:11,Amway Center,
"Wed, Oct 27, 2021",7:30p,Washington Wizards,116,Boston Celtics,107,Box Score,,19156.0,2:18,TD Garden,
"Wed, Oct 27, 2021",7:30p,Miami Heat,106,Brooklyn Nets,93,Box Score,,17732.0,2:13,Barclays Center,
"Wed, Oct 27, 2021",7:30p,Indiana Pacers,100,Toronto Raptors,118,Box Score,,19800.0,2:14,Scotiabank Arena,
"Wed, Oct 27, 2021",7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,Box Score,,15541.0,2:16,Smoothie King Center,
"Wed, Oct 27, 2021",8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,Box Score,,17341.0,2:14,Fiserv Forum,
"Wed, Oct 27, 2021",8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,Box Score,,15783.0,2:25,Paycom Center,
"Wed, Oct 27, 2021",10:00p,Sacramento Kings,110,Phoenix Suns,107,Box Score,,14678.0,2:09,Phoenix Suns Arena,
"Wed, Oct 27, 2021",10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,Box Score,,16241.0,2:19,Moda Center,
"Wed, Oct 27, 2021",10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,Box Score,,13276.0,2:05,Crypto.com Arena,
"Thu, Oct 28, 2021",7:00p,Atlanta Hawks,111,Washington Wizards,122,Box Score,,13653.0,2:16,Capital One Arena,
"Thu, Oct 28, 2021",7:00p,Detroit Pistons,102,Philadelphia 76ers,110,Box Score,,20017.0,2:22,Wells Fargo Center,
"Thu, Oct 28, 2021",8:00p,Utah Jazz,122,Houston Rockets,91,Box Score,,15858.0,2:14,Toyota Center,
"Thu, Oct 28, 2021",8:00p,New York Knicks,104,Chicago Bulls,103,Box Score,,20972.0,2:20,United Center,
"Thu, Oct 28, 2021",8:30p,San Antonio Spurs,99,Dallas Mavericks,104,Box Score,,19228.0,2:07,American Airlines Center,
"Thu, Oct 28, 2021",10:00p,Memphis Grizzlies,104,Golden State Warriors,101,Box Score,OT,18064.0,2:23,Chase Center,
"Fri, Oct 29, 2021",7:00p,Orlando Magic,109,Toronto Raptors,110,Box Score,,19800.0,2:16,Scotiabank Arena,
"Fri, Oct 29, 2021",7:30p,Charlotte Hornets,99,Miami Heat,114,Box Score,,19600.0,2:18,FTX Arena,
"Fri, Oct 29, 2021",7:30p,Indiana Pacers,98,Brooklyn Nets,105,Box Score,,16139.0,2:25,Barclays Center,
"Fri, Oct 29, 2021",8:00p,Sacramento Kings,113,New Orleans Pelicans,109,Box Score,,17507.0,2:16,Smoothie King Center,
"Fri, Oct 29, 2021",10:00p,Dallas Mavericks,75,Denver Nuggets,106,Box Score,,18315.0,2:17,Ball Arena,
"Fri, Oct 29, 2021",10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111,Box Score,,16510.0,2:07,Moda Center,
"Fri, Oct 29, 2021",10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,Box Score,,18997.0,2:09,Crypto.com Arena,
"Sat, Oct 30, 2021",5:00p,Boston Celtics,112,Washington Wizards,115,Box Score,2OT,15813.0,2:58,Capital One Arena,
"Sat, Oct 30, 2021",7:00p,Orlando Magic,103,Detroit Pistons,110,Box Score,,11423.0,2:12,Little Caesars Arena,
"Sat, Oct 30, 2021",7:00p,New York Knicks,123,New Orleans Pelicans,117,Box Score,,16508.0,2:16,Smoothie King Center,
"Sat, Oct 30, 2021",7:30p,Toronto Raptors,97,Indiana Pacers,94,Box Score,,10578.0,2:07,Gainbridge Fieldhouse,
"Sat, Oct 30, 2021",7:30p,Atlanta Hawks,94,Philadelphia 76ers,122,Box Score,,20031.0,2:10,Wells Fargo Center,
"Sat, Oct 30, 2021",8:00p,Utah Jazz,99,Chicago Bulls,107,Box Score,,20668.0,2:17,United Center,
"Sat, Oct 30, 2021",8:00p,Miami Heat,129,Memphis Grizzlies,103,Box Score,,15989.0,2:10,FedEx Forum,
"Sat, Oct 30, 2021",8:00p,San Antonio Spurs,102,Milwaukee Bucks,93,Box Score,,17341.0,2:11,Fiserv Forum,
"Sat, Oct 30, 2021",8:30p,Oklahoma City Thunder,82,Golden State Warriors,103,Box Score,,18064.0,2:02,Chase Center,
"Sat, Oct 30, 2021",9:00p,Denver Nuggets,93,Minnesota Timberwolves,91,Box Score,,17136.0,2:02,Target Center,
"Sat, Oct 30, 2021",10:00p,Cleveland Cavaliers,92,Phoenix Suns,101,Box Score,,14516.0,2:06,Phoenix Suns Arena,
"Sun, Oct 31, 2021",3:30p,Sacramento Kings,99,Dallas Mavericks,105,Box Score,,19231.0,2:07,American Airlines Center,
"Sun, Oct 31, 2021",7:00p,Portland Trail Blazers,113,Charlotte Hornets,125,Box Score,,14960.0,2:03,Spectrum Center,
"Sun, Oct 31, 2021",7:00p,Utah Jazz,107,Milwaukee Bucks,95,Box Score,,17341.0,2:10,Fiserv Forum,
"Sun, Oct 31, 2021",7:30p,Detroit Pistons,91,Brooklyn Nets,117,Box Score,,13507.0,2:05,Barclays Center,
"Sun, Oct 31, 2021",10:30p,Houston Rockets,85,Los Angeles Lakers,95,Box Score,,16448.0,2:13,Crypto.com Arena,
"Mon, Nov 1, 2021",7:00p,Cleveland Cavaliers,113,Charlotte Hornets,110,Box Score,,13889.0,2:15,Spectrum Center,
"Mon, Nov 1, 2021",7:00p,San Antonio Spurs,118,Indiana Pacers,131,Box Score,,10227.0,2:02,Gainbridge Fieldhouse,
"Mon, Nov 1, 2021",7:00p,Portland Trail Blazers,103,Philadelphia 76ers,113,Box Score,,20115.0,2:04,Wells Fargo Center,
"Mon, Nov 1, 2021",7:30p,Washington Wizards,111,Atlanta Hawks,118,Box Score,,14632.0,2:12,State Farm Arena,
"Mon, Nov 1, 2021",7:30p,Chicago Bulls,128,Boston Celtics,114,Box Score,,19156.0,2:09,TD Garden,
"Mon, Nov 1, 2021",7:30p,Toronto Raptors,113,New York Knicks,104,Box Score,,16528.0,2:05,Madison Square Garden (IV),
"Mon, Nov 1, 2021",8:00p,Denver Nuggets,97,Memphis Grizzlies,106,Box Score,,12683.0,2:02,FedEx Forum,
"Mon, Nov 1, 2021",8:00p,Orlando Magic,115,Minnesota Timberwolves,97,Box Score,,14744.0,2:19,Target Center,
"Mon, Nov 1, 2021",10:30p,Oklahoma City Thunder,94,Los Angeles Clippers,99,Box Score,,13722.0,2:14,Crypto.com Arena,
"Tue, Nov 2, 2021",7:00p,Milwaukee Bucks,117,Detroit Pistons,89,Box Score,,9254.0,2:11,Little Caesars Arena,
"Tue, Nov 2, 2021",7:30p,Miami Heat,125,Dallas Mavericks,110,Box Score,,19255.0,2:21,American Airlines Center,
"Tue, Nov 2, 2021",9:00p,Sacramento Kings,113,Utah Jazz,119,Box Score,,18306.0,2:28,Vivint Smart Home Arena,
"Tue, Nov 2, 2021",10:00p,New Orleans Pelicans,100,Phoenix Suns,112,Box Score,,14323.0,2:11,Phoenix Suns Arena,
"Tue, Nov 2, 2021",10:30p,Houston Rockets,117,Los Angeles Lakers,119,Box Score,,18997.0,2:17,Crypto.com Arena,
"Wed, Nov 3, 2021",7:00p,Portland Trail Blazers,104,Cleveland Cavaliers,107,Box Score,,16231.0,2:06,Rocket Mortgage Fieldhouse,
"Wed, Nov 3, 2021",7:00p,New York Knicks,98,Indiana Pacers,111,Box Score,,11607.0,2:11,Gainbridge Fieldhouse,
"Wed, Nov 3, 2021",7:00p,Boston Celtics,92,Orlando Magic,79,Box Score,,12735.0,2:06,Amway Center,
"Wed, Nov 3, 2021",7:00p,Chicago Bulls,98,Philadelphia 76ers,103,Box Score,,20438.0,2:13,Wells Fargo Center,
"Wed, Nov 3, 2021",7:00p,Toronto Raptors,109,Washington Wizards,100,Box Score,,13538.0,2:14,Capital One Arena,
"Wed, Nov 3, 2021",7:30p,Atlanta Hawks,108,Brooklyn Nets,117,Box Score,,17323.0,2:05,Barclays Center,
"Wed, Nov 3, 2021",8:00p,Denver Nuggets,106,Memphis Grizzlies,108,Box Score,,12977.0,2:11,FedEx Forum,
"Wed, Nov 3, 2021",8:00p,Los Angeles Clippers,126,Minnesota Timberwolves,115,Box Score,,15386.0,2:10,Target Center,
"Wed, Nov 3, 2021",8:30p,Dallas Mavericks,109,San Antonio Spurs,108,Box Score,,16356.0,2:26,AT&T Center,
"Wed, Nov 3, 2021",10:00p,Charlotte Hornets,92,Golden State Warriors,114,Box Score,,18064.0,2:16,Chase Center,
"Wed, Nov 3, 2021",10:00p,New Orleans Pelicans,99,Sacramento Kings,112,Box Score,,0.0,2:10,Golden 1 Center,
"Thu, Nov 4, 2021",7:00p,Philadelphia 76ers,109,Detroit Pistons,98,Box Score,,8702.0,2:12,Little Caesars Arena,
"Thu, Nov 4, 2021",7:30p,Utah Jazz,116,Atlanta Hawks,98,Box Score,,16590.0,2:12,State Farm Arena,
"Thu, Nov 4, 2021",7:30p,Boston Celtics,95,Miami Heat,78,Box Score,,19600.0,2:13,FTX Arena,
"Thu, Nov 4, 2021",10:00p,Houston Rockets,111,Phoenix Suns,123,Box Score,,15058.0,2:08,Phoenix Suns Arena,
"Thu, Nov 4, 2021",10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,104,Box Score,,18997.0,2:15,Crypto.com Arena,
"Fri, Nov 5, 2021",7:00p,Brooklyn Nets,96,Detroit Pistons,90,Box Score,,14235.0,2:18,Little Caesars Arena,
"Fri, Nov 5, 2021",7:00p,San Antonio Spurs,102,Orlando Magic,89,Box Score,,14101.0,2:01,Amway Center,
"Fri, Nov 5, 2021",7:00p,Memphis Grizzlies,87,Washington Wizards,115,Box Score,,16302.0,2:06,Capital One Arena,
"Fri, Nov 5, 2021",7:30p,New York Knicks,113,Milwaukee Bucks,98,Box Score,,17341.0,2:14,Fiserv Forum,
"Fri, Nov 5, 2021",7:30p,Cleveland Cavaliers,102,Toronto Raptors,101,Box Score,,19800.0,2:10,Scotiabank Arena,
"Fri, Nov 5, 2021",8:00p,Los Angeles Clippers,104,Minnesota Timberwolves,84,Box Score,,17136.0,2:15,Target Center,
"Fri, Nov 5, 2021",10:00p,New Orleans Pelicans,85,Golden State Warriors,126,Box Score,,18064.0,2:18,Chase Center,
"Fri, Nov 5, 2021",10:00p,Indiana Pacers,106,Portland Trail Blazers,110,Box Score,,16841.0,2:04,Moda Center,
"Fri, Nov 5, 2021",10:00p,Charlotte Hornets,110,Sacramento Kings,140,Box Score,,14905.0,2:07,Golden 1 Center,
"Sat, Nov 6, 2021",5:00p,Houston Rockets,94,Denver Nuggets,95,Box Score,,16046.0,2:09,Ball Arena,
"Sat, Nov 6, 2021",7:30p,Utah Jazz,115,Miami Heat,118,Box Score,,19600.0,2:16,FTX Arena,
"Sat, Nov 6, 2021",8:00p,Philadelphia 76ers,114,Chicago Bulls,105,Box Score,,20936.0,2:16,United Center,
"Sat, Nov 6, 2021",8:30p,Boston Celtics,104,Dallas Mavericks,107,Box Score,,20052.0,2:07,American Airlines Center,
"Sat, Nov 6, 2021",10:00p,Atlanta Hawks,117,Phoenix Suns,121,Box Score,,15412.0,2:11,Phoenix Suns Arena,
"Sat, Nov 6, 2021",10:30p,Los Angeles Lakers,90,Portland Trail Blazers,105,Box Score,,19393.0,2:06,Moda Center,
"Sun, Nov 7, 2021",3:30p,Brooklyn Nets,116,Toronto Raptors,103,Box Score,,19800.0,2:01,Scotiabank Arena,
"Sun, Nov 7, 2021",6:00p,Cleveland Cavaliers,126,New York Knicks,109,Box Score,,19040.0,2:05,Madison Square Garden (IV),
"Sun, Nov 7, 2021",6:00p,Utah Jazz,100,Orlando Magic,107,Box Score,,13386.0,2:10,Amway Center,
"Sun, Nov 7, 2021",6:00p,Indiana Pacers,94,Sacramento Kings,91,Box Score,,12993.0,2:15,Golden 1 Center,
"Sun, Nov 7, 2021",6:00p,Milwaukee Bucks,94,Washington Wizards,101,Box Score,,15570.0,2:12,Capital One Arena,
"Sun, Nov 7, 2021",7:00p,San Antonio Spurs,94,Oklahoma City Thunder,99,Box Score,,12972.0,2:02,Paycom Center,
"Sun, Nov 7, 2021",8:30p,Houston Rockets,107,Golden State Warriors,120,Box Score,,18064.0,2:11,Chase Center,
"Sun, Nov 7, 2021",9:00p,Charlotte Hornets,106,Los Angeles Clippers,120,Box Score,,15781.0,2:25,Crypto.com Arena,
"Mon, Nov 8, 2021",7:00p,New York Knicks,103,Philadelphia 76ers,96,Box Score,,20224.0,2:04,Wells Fargo Center,
"Mon, Nov 8, 2021",8:00p,Brooklyn Nets,95,Chicago Bulls,118,Box Score,,19459.0,2:08,United Center,
"Mon, Nov 8, 2021",8:00p,Minnesota Timberwolves,118,Memphis Grizzlies,125,Box Score,OT,12416.0,2:36,FedEx Forum,
"Mon, Nov 8, 2021",8:30p,New Orleans Pelicans,92,Dallas Mavericks,108,Box Score,,19231.0,2:05,American Airlines Center,
"Mon, Nov 8, 2021",9:00p,Miami Heat,96,Denver Nuggets,113,Box Score,,15577.0,2:26,Ball Arena,
"Mon, Nov 8, 2021",10:00p,Atlanta Hawks,113,Golden State Warriors,127,Box Score,,18064.0,2:17,Chase Center,
"Mon, Nov 8, 2021",10:00p,Phoenix Suns,109,Sacramento Kings,104,Box Score,,13566.0,2:14,Golden 1 Center,
"Mon, Nov 8, 2021",10:30p,Charlotte Hornets,123,Los Angeles Lakers,126,Box Score,OT,18997.0,2:44,Crypto.com Arena,
"Tue, Nov 9, 2021",7:30p,Milwaukee Bucks,118,Philadelphia 76ers,109,Box Score,,20029.0,2:14,Wells Fargo Center,
"Tue, Nov 9, 2021",9:00p,Atlanta Hawks,98,Utah Jazz,110,Box Score,,18306.0,2:06,Vivint Smart Home Arena,
"Tue, Nov 9, 2021",10:00p,Portland Trail Blazers,109,Los Angeles Clippers,117,Box Score,,14131.0,2:08,Crypto.com Arena,
"Wed, Nov 10, 2021",7:00p,Washington Wizards,97,Cleveland Cavaliers,94,Box Score,,18056.0,2:19,Rocket Mortgage Fieldhouse,
"Wed, Nov 10, 2021",7:00p,Brooklyn Nets,123,Orlando Magic,90,Box Score,,13882.0,2:06,Amway Center,
"Wed, Nov 10, 2021",7:30p,Toronto Raptors,88,Boston Celtics,104,Box Score,,19156.0,2:12,TD Garden,
"Wed, Nov 10, 2021",7:30p,Detroit Pistons,112,Houston Rockets,104,Box Score,,15350.0,2:27,Toyota Center,
"Wed, Nov 10, 2021",7:30p,Milwaukee Bucks,112,New York Knicks,100,Box Score,,18027.0,2:07,Madison Square Garden (IV),
"Wed, Nov 10, 2021",8:00p,Dallas Mavericks,107,Chicago Bulls,117,Box Score,,20910.0,2:08,United Center,
"Wed, Nov 10, 2021",8:00p,Charlotte Hornets,118,Memphis Grizzlies,108,Box Score,,13880.0,2:09,FedEx Forum,
"Wed, Nov 10, 2021",8:00p,Oklahoma City Thunder,108,New Orleans Pelicans,100,Box Score,,15355.0,2:24,Smoothie King Center,
"Wed, Nov 10, 2021",8:30p,Sacramento Kings,117,San Antonio Spurs,136,Box Score,,15065.0,2:09,AT&T Center,
"Wed, Nov 10, 2021",9:00p,Indiana Pacers,98,Denver Nuggets,101,Box Score,,15232.0,2:14,Ball Arena,
"Wed, Nov 10, 2021",9:00p,Portland Trail Blazers,109,Phoenix Suns,119,Box Score,,15672.0,2:08,Phoenix Suns Arena,
"Wed, Nov 10, 2021",10:00p,Minnesota Timberwolves,110,Golden State Warriors,123,Box Score,,18064.0,2:25,Chase Center,
"Wed, Nov 10, 2021",10:00p,Miami Heat,117,Los Angeles Lakers,120,Box Score,OT,18997.0,2:45,Crypto.com Arena,
"Thu, Nov 11, 2021",7:00p,Toronto Raptors,115,Philadelphia 76ers,109,Box Score,,20112.0,2:12,Wells Fargo Center,
"Thu, Nov 11, 2021",9:00p,Indiana Pacers,111,Utah Jazz,100,Box Score,,18306.0,2:13,Vivint Smart Home Arena,
"Thu, Nov 11, 2021",10:30p,Miami Heat,109,Los Angeles Clippers,112,Box Score,,16150.0,2:12,Crypto.com Arena,
"Fri, Nov 12, 2021",7:00p,New York Knicks,96,Charlotte Hornets,104,Box Score,,19257.0,2:15,Spectrum Center,
"Fri, Nov 12, 2021",7:30p,Milwaukee Bucks,113,Boston Celtics,122,Box Score,OT,19156.0,2:21,TD Garden,
"Fri, Nov 12, 2021",7:30p,Detroit Pistons,78,Cleveland Cavaliers,98,Box Score,,17095.0,1:58,Rocket Mortgage Fieldhouse,
"Fri, Nov 12, 2021",8:00p,Portland Trail Blazers,104,Houston Rockets,92,Box Score,,15468.0,2:13,Toyota Center,
"Fri, Nov 12, 2021",8:00p,Phoenix Suns,119,Memphis Grizzlies,94,Box Score,,15886.0,2:03,FedEx Forum,
"Fri, Nov 12, 2021",8:00p,Brooklyn Nets,120,New Orleans Pelicans,112,Box Score,,14650.0,2:13,Smoothie King Center,
"Fri, Nov 12, 2021",8:00p,Sacramento Kings,103,Oklahoma City Thunder,105,Box Score,,12881.0,2:08,Paycom Center,
"Fri, Nov 12, 2021",8:30p,Dallas Mavericks,123,San Antonio Spurs,109,Box Score,,13425.0,2:04,AT&T Center,
"Fri, Nov 12, 2021",9:00p,Atlanta Hawks,96,Denver Nuggets,105,Box Score,,16849.0,2:07,Ball Arena,
"Fri, Nov 12, 2021",10:00p,Chicago Bulls,93,Golden State Warriors,119,Box Score,,18064.0,2:12,Chase Center,
"Fri, Nov 12, 2021",10:30p,Minnesota Timberwolves,107,Los Angeles Lakers,83,Box Score,,18997.0,2:15,Crypto.com Arena,
"Sat, Nov 13, 2021",5:00p,Miami Heat,111,Utah Jazz,105,Box Score,,18306.0,2:29,Vivint Smart Home Arena,
"Sat, Nov 13, 2021",7:00p,Philadelphia 76ers,113,Indiana Pacers,118,Box Score,,14483.0,2:13,Gainbridge Fieldhouse,
"Sat, Nov 13, 2021",7:00p,Memphis Grizzlies,101,New Orleans Pelicans,112,Box Score,,14358.0,2:13,Smoothie King Center,
"Sat, Nov 13, 2021",7:00p,Washington Wizards,104,Orlando Magic,92,Box Score,,17272.0,2:03,Amway Center,
"Sat, Nov 13, 2021",7:30p,Detroit Pistons,127,Toronto Raptors,121,Box Score,,19800.0,2:21,Scotiabank Arena,
"Sat, Nov 13, 2021",8:00p,Boston Celtics,89,Cleveland Cavaliers,91,Box Score,,19432.0,2:09,Rocket Mortgage Fieldhouse,
"Sat, Nov 13, 2021",10:30p,Minnesota Timberwolves,102,Los Angeles Clippers,129,Box Score,,15285.0,1:56,Crypto.com Arena,
"Sun, Nov 14, 2021",3:30p,San Antonio Spurs,106,Los Angeles Lakers,114,Box Score,,18997.0,2:05,Crypto.com Arena,
"Sun, Nov 14, 2021",6:00p,Milwaukee Bucks,100,Atlanta Hawks,120,Box Score,,16901.0,2:04,State Farm Arena,
"Sun, Nov 14, 2021",7:00p,Golden State Warriors,102,Charlotte Hornets,106,Box Score,,19559.0,2:14,Spectrum Center,
"Sun, Nov 14, 2021",7:00p,Phoenix Suns,115,Houston Rockets,89,Box Score,,16088.0,2:10,Toyota Center,
"Sun, Nov 14, 2021",7:00p,Brooklyn Nets,120,Oklahoma City Thunder,96,Box Score,,15080.0,2:01,Paycom Center,
"Sun, Nov 14, 2021",8:00p,Portland Trail Blazers,95,Denver Nuggets,124,Box Score,,14583.0,1:56,Ball Arena,
"Sun, Nov 14, 2021",9:30p,Chicago Bulls,100,Los Angeles Clippers,90,Box Score,,17899.0,2:10,Crypto.com Arena,
"Mon, Nov 15, 2021",7:00p,Boston Celtics,98,Cleveland Cavaliers,92,Box Score,,17186.0,2:09,Rocket Mortgage Fieldhouse,
"Mon, Nov 15, 2021",7:00p,Sacramento Kings,129,Detroit Pistons,107,Box Score,,10092.0,2:02,Little Caesars Arena,
"Mon, Nov 15, 2021",7:00p,New Orleans Pelicans,100,Washington Wizards,105,Box Score,,13914.0,2:21,Capital One Arena,
"Mon, Nov 15, 2021",7:30p,Orlando Magic,111,Atlanta Hawks,129,Box Score,,13061.0,2:11,State Farm Arena,
"Mon, Nov 15, 2021",7:30p,Indiana Pacers,84,New York Knicks,92,Box Score,,16792.0,2:05,Madison Square Garden (IV),
"Mon, Nov 15, 2021",8:00p,Denver Nuggets,101,Dallas Mavericks,111,Box Score,,19797.0,2:08,American Airlines Center,
